compound_id	smiles	chem_name	mw
49	COC(=O)C1=C(C)N(c2ccc(OC)cc2)C(=S)NC1c1cc(OC)c(OC)cc1OC	methyl 1-(4-methoxyphenyl)-6-methyl-2-sulfanylidene-4-(2,4,5-trimethoxyphenyl)-1,2,3,4-tetrahydropyrimidine-5-carboxylate	458.53
50	CCOC(=O)C1=C(C)N(c2ccc3c(c2)OCCO3)C(=S)NC1c1ccc(C)cc1		
51	CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(-c2ccccc2Cl)s1	ethyl 4-[5-(2-chlorophenyl)thiophen-2-yl]-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate	376.86
52	COC(=O)C1=C(C)N(c2cccc(OC)c2)C(=S)NC1c1ccccc1Cl		
53	CCOc1ccccc1C1NC(=S)N(c2ccccc2)C(C)=C1C(=O)N(CC)CC		
54	COc1ccc(C2NC(=S)NC(C)=C2C(=O)N2CCOCC2)cc1C		
55	CCOC(=O)C1=C(C)N(c2ccc(C)c(F)c2)C(=S)NC1c1ccc(OCCC(=O)O)cc1	3-{4-[5-(ethoxycarbonyl)-1-(3-fluoro-4-methylphenyl)-6-methyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidin-4-yl]phenoxy}propanoic acid	472.53
56	COC(=O)C1=C(C)N(c2cc(C)ccc2C)C(=S)NC1c1cc(OC)c(O)c(OC)c1	methyl 1-(2,5-dimethylphenyl)-4-(4-hydroxy-3,5-dimethoxyphenyl)-6-methyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxylate	442.53
57	COC(=O)C1=C(C)N(c2ccccc2OC)C(=S)NC1c1ccc(F)cc1	methyl 4-(4-fluorophenyl)-1-(2-methoxyphenyl)-6-methyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxylate	386.44
58	CCOC(=O)C1=C(C)N(c2ccc3c(c2)OCCO3)C(=S)NC1c1ccc(N2CCOCC2)cc1	ethyl 1-(2,3-dihydro-1,4-benzodioxin-6-yl)-6-methyl-4-[4-(morpholin-4-yl)phenyl]-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxylate	495.59
59	COC(=O)C1=C(C)N(c2ccc3c(c2)OCCO3)C(=S)NC1c1cc([N+](=O)[O-])c(F)cc1F	methyl 4-(2,4-difluoro-5-nitrophenyl)-1-(2,3-dihydro-1,4-benzodioxin-6-yl)-6-methyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxylate	477.44
60	CCOc1ccccc1C1NC(=S)N(c2ccc(OC)cc2)C(C)=C1C(=O)Nc1cc(C)on1		
61	COC(=O)C1=C(C)N(c2ccccc2)C(=S)NC1c1ccc(OC)c(OC)c1OC	methyl 6-methyl-1-phenyl-2-sulfanylidene-4-(2,3,4-trimethoxyphenyl)-1,2,3,4-tetrahydropyrimidine-5-carboxylate	428.50
62	CC1=C(C(=O)N2CCOCC2)C(c2ccc(C(C)C)cc2)NC(=S)N1		
63	COc1cccc(N2C(=S)NC(c3ccc(F)cc3F)C(C(=O)Nc3cc(C)on3)=C2C)c1		
64	CCOC(=O)C1=C(C)N(CC)C(=O)NC1c1ccc(Cl)c(Cl)c1	ethyl 4-(3,4-dichlorophenyl)-1-ethyl-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate	357.23
65	CCN(CC)C(=O)C1=C(C)N(c2ccc3c(c2)OCCO3)C(=S)NC1c1ccccc1		
